feature,importance_mean,importance_std
incident_severity,0.3310571652093248,0.041418517671919376
collision_type,0.019193848366596756,0.008966340773943832
months_as_customer,0.007448182221173688,0.013060788423496613
incident_type,0.005076086039433031,0.004131234191679256
property_share,0.002553072861968575,0.012668783848954692
property_damage,0.0011004136941937027,0.005793765517507007
policy_deductable,0.0,0.0
has_umbrella_policy,0.0,0.0
total_claim_amount,-0.002360354410776527,0.01428662764180072
authorities_contacted,-0.00564642061226423,0.008805328059920245
policy_annual_premium,-0.007461577755272539,0.044589076804986826
claim_to_deductible,-0.013387315092092839,0.018014862970382135
vehicle_share,-0.01437886551532389,0.024014685632265036
claim_to_premium,-0.023990944730653795,0.03182927880543418
umbrella_limit,-0.03202505486639115,0.03274193113654616
injury_share,-0.04057871353487226,0.01795379496104547
