feature,p_value,cliffs_delta,median_N,median_Y,n_N,n_Y
vehicle_claim,5.906034748862743e-06,0.19186412245753826,41220.0,44800.0,753,247
total_claim_amount,1.0749813837919564e-05,0.18643375217080396,56520.0,61290.0,753,247
property_claim,2.4484379362008995e-05,0.17872370168449012,6560.0,7440.0,753,247
injury_claim,0.005497685795403004,0.11759708803114129,6620.0,7240.0,753,247
witnesses,0.1146503249454319,0.06470205547580259,1.0,2.0,753,247
number_of_vehicles_involved,0.10310463427733546,0.060110435451177745,1.0,1.0,753,247
umbrella_limit,0.0672079320000255,0.054352092305541666,0.0,0.0,753,247
bodily_injuries,0.2853345757923289,0.04266873128269647,1.0,1.0,753,247
months_as_customer,0.6325182354430969,0.02025904479248996,200.0,199.0,753,247
auto_year,0.7896536583999539,0.01129086891301192,2005.0,2006.0,753,247
policy_deductable,0.823983713429425,0.008882150211569377,1000.0,1000.0,753,247
incident_hour_of_the_day,0.8956760734525797,0.005554032184353006,12.0,12.0,753,247
age,0.9085857611342887,0.004865826841083708,38.0,38.0,753,247
capital_loss,0.6273114084122076,-0.019436424343113375,-20400.0,-30200.0,753,247
policy_annual_premium,0.6274701792895707,-0.020560134630170278,1253.12,1269.64,753,247
capital_gains,0.5119263953997952,-0.025899102644751627,0.0,0.0,753,247
