,count,mean,std,min,25%,50%,75%,max
months_as_customer,1000.0,203.954,115.11317442815538,0.0,115.75,199.5,276.25,479.0
age,1000.0,38.948,9.140286693580286,19.0,32.0,38.0,44.0,64.0
policy_number,1000.0,546238.648,257063.00527558493,100804.0,335980.25,533135.0,759099.75,999435.0
policy_deductable,1000.0,1136.0,611.8646732557604,500.0,500.0,1000.0,2000.0,2000.0
policy_annual_premium,1000.0,1256.4061499999998,244.16739496140704,433.33,1089.6075,1257.1999999999998,1415.6950000000002,2047.59
umbrella_limit,1000.0,1101000.0,2297406.598118208,-1000000.0,0.0,0.0,0.0,10000000.0
insured_zip,1000.0,501214.488,71701.61094135501,430104.0,448404.5,466445.5,603251.0,620962.0
capital-gains,1000.0,25126.1,27872.18770813725,0.0,0.0,0.0,51025.0,100500.0
capital-loss,1000.0,-26793.7,28104.096686436318,-111100.0,-51500.0,-23250.0,0.0,0.0
incident_hour_of_the_day,1000.0,11.644,6.951372928104605,0.0,6.0,12.0,17.0,23.0
number_of_vehicles_involved,1000.0,1.839,1.0188803252183825,1.0,1.0,1.0,3.0,4.0
bodily_injuries,1000.0,0.992,0.8201271905068193,0.0,0.0,1.0,2.0,2.0
witnesses,1000.0,1.487,1.1113352626755195,0.0,1.0,1.0,2.0,3.0
total_claim_amount,1000.0,52761.94,26401.533190161346,100.0,41812.5,58055.0,70592.5,114920.0
injury_claim,1000.0,7433.42,4880.951853337071,0.0,4295.0,6775.0,11305.0,21450.0
property_claim,1000.0,7399.57,4824.726178530528,0.0,4445.0,6750.0,10885.0,23670.0
vehicle_claim,1000.0,37928.95,18886.252893198423,70.0,30292.5,42100.0,50822.5,79560.0
auto_year,1000.0,2005.103,6.015860834625546,1995.0,2000.0,2005.0,2010.0,2015.0
